,iter,best_obj,rel_diff,best_ext_h0,Nd_intercept,Nd_beta0,Nd_beta1,Pr_intercept,Pr_beta0,Pr_beta1,Ce_intercept,Ce_beta0,Ce_beta1,La_intercept,La_beta0,La_beta1,Dy_intercept,Dy_beta0,Dy_beta1,Sm_intercept,Sm_beta0,Sm_beta1,Y_intercept,Y_beta0,Y_beta1
0,0,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20
1,1,0.033647778113830525,21.000000000000057,-1376877.1491014853,-796630.7472372957,0.7459820315595859,7.683962525237933,-808126.331804689,0.05879108393945308,0.5448323469435739,-798601.759258479,0.6005010041816041,4.910031852331482,-802384.4792986697,0.5930046452497859,5.277120552778203,-805107.4528195162,0.6129648575972374,5.360202430370018,-795364.2081485003,0.5978078971541942,5.279174082617606,-814654.8936071004,0.9657036817294907,8.515030539951253
2,2,0.011371891310485667,1.7809885286134581,-1377917.5261387695,-796507.2063621008,1.282838759795358,6.902804792440243,-808735.3933837808,0.05879108229837919,0.5448322898792433,-798307.3201515124,0.6005010298214011,4.910022284826427,-801912.301008032,0.5930045609171245,5.277127676968026,-801913.8255634321,0.7646294828913005,7.848342595191327,-795363.041378655,0.5978084651250514,5.279183026035014,-813457.4899543246,0.8866269789489127,9.867663759220948
3,3,0.008641080472189547,0.7095542768622557,-1377917.5261387695,-796048.7760914894,1.0825298224626023,6.211283570154922,-807884.6838503737,0.05879107717406858,0.5448320238819658,-799326.8310861788,0.6005020116531858,4.91004437191519,-801737.4462156398,0.5930048961782302,5.277144735292778,-801426.9157177466,0.5532849580804902,9.206773080251143,-795364.1985261647,0.5978087860273482,5.279188095059933,-813457.4899543246,0.8866269789489127,9.867663759220948
4,4,0.0077116880626842774,0.001045483581763083,-1377917.5261387695,-796123.8048527003,1.082532056501894,6.21126666931227,-807682.864923159,0.05879107717406858,0.5448320238819658,-798906.4762851987,0.6005020116531858,4.91004437191519,-801602.4497529072,0.5930048961782302,5.277144735292778,-801426.3864333024,0.5532852226657412,9.206784416704208,-795364.1985261647,0.5978087860273482,5.279188095059933,-813457.4899543246,0.8866269789489127,9.867663759220948
5,5,0.007654988377412918,0.0004889223754199215,-1377917.5269444608,-795978.009332054,1.0825315776813356,6.211262701179254,-807775.0879128327,0.05879107717406858,0.5448320238819658,-798839.9836325685,0.6005020116531858,4.91004437191519,-801517.285745487,0.5930048961782302,5.277144735292778,-801426.9000381464,0.5532852863195881,9.206787175138803,-795364.1985261647,0.5978087860273482,5.279188095059933,-813457.4899543246,0.8866269789489127,9.867663759220948
6,6,0.007610209179550956,0.0003179015187814805,-1377917.5269997541,-795889.1188724772,1.0825315776813356,6.211262701179254,-807684.2192836072,0.05879107717406858,0.5448320238819658,-798798.9084175534,0.6005020116531858,4.91004437191519,-801483.3687901833,0.5930048961782302,5.277144735292778,-801426.9000381464,0.5532852863195881,9.206787175138803,-795364.1985261647,0.5978087860273482,5.279188095059933,-813457.4899543246,0.8866269789489127,9.867663759220948
7,7,0.007598843960371909,0.00011070832700715566,-1377917.5269100612,-795897.0467890751,1.0825315776813356,6.211262701179254,-807644.9779835651,0.05879107717406858,0.5448320238819658,-798798.9084175534,0.6005020116531858,4.91004437191519,-801441.5615806901,0.5930048961782302,5.277144735292778,-801426.9000381464,0.5532852863195881,9.206787175138803,-795364.1985261647,0.5978087860273482,5.279188095059933,-813457.4899543246,0.8866269789489127,9.867663759220948
8,8,0.007598581095870595,3.145446182414225e-05,-1377917.5269485628,-795872.4794372824,1.0825315776813356,6.211262701179254,-807644.5039264921,0.05879107717406858,0.5448320238819658,-798798.9084175534,0.6005020116531858,4.91004437191519,-801441.5615806901,0.5930048961782302,5.277144735292778,-801426.9000381464,0.5532852863195881,9.206787175138803,-795364.1985261647,0.5978087860273482,5.279188095059933,-813457.4899543246,0.8866269789489127,9.867663759220948
9,9,0.0075985812451889985,0.0,-1377917.5269485628,-795872.4794372824,1.0825315776813356,6.211262701179254,-807644.5039264921,0.05879107717406858,0.5448320238819658,-798798.9084175534,0.6005020116531858,4.91004437191519,-801441.5615806901,0.5930048961782302,5.277144735292778,-801426.9000381464,0.5532852863195881,9.206787175138803,-795364.1985261647,0.5978087860273482,5.279188095059933,-813457.4899543246,0.8866269789489127,9.867663759220948
10,10,0.0075985812451889985,0.0,-1377917.5269485628,-795872.4794372824,1.0825315776813356,6.211262701179254,-807644.5039264921,0.05879107717406858,0.5448320238819658,-798798.9084175534,0.6005020116531858,4.91004437191519,-801441.5615806901,0.5930048961782302,5.277144735292778,-801426.9000381464,0.5532852863195881,9.206787175138803,-795364.1985261647,0.5978087860273482,5.279188095059933,-813457.4899543246,0.8866269789489127,9.867663759220948
11,11,0.0075985812451889985,0.0,-1377917.5269485628,-795872.4794372824,1.0825315776813356,6.211262701179254,-807644.5039264921,0.05879107717406858,0.5448320238819658,-798798.9084175534,0.6005020116531858,4.91004437191519,-801441.5615806901,0.5930048961782302,5.277144735292778,-801426.9000381464,0.5532852863195881,9.206787175138803,-795364.1985261647,0.5978087860273482,5.279188095059933,-813457.4899543246,0.8866269789489127,9.867663759220948
