,species,slope,intercept
0,Nd,3.000419727896623,-795340.4205623841
1,Pr,2.9947634514300585,-812098.2612992612
2,Ce,2.9999638712218615,-797736.0628337285
3,La,2.999891115669218,-796947.1165858557
4,Dy,3.0047799810800417,-797942.4465453301
5,Sm,3.004641443857438,-788584.0264811738
6,Y,3.0034812142034917,-808803.511500664
